NAME-AREA
Бесплатная правовая помощь лицам, вынужденно покинувшим территорию Донецкой, Луганской Народных Республик, Украины и лиц, проживающих на освобожденных...-Социальное обслуживание, социальная поддержка и защита граждан
Адаптационный центр детей дошкольного возраста прибывших с территории Донбасса и Украины-Социальное обслуживание, социальная поддержка и защита граждан
ПОМОГОША-Социальное обслуживание, социальная поддержка и защита граждан
Комплексный гуманитарный центр Дмитриевского района-Социальное обслуживание, социальная поддержка и защита граждан
Сила добровольчества-Социальное обслуживание, социальная поддержка и защита граждан
"Сундучок помощи- #неодни"-Социальное обслуживание, социальная поддержка и защита граждан
Просветительский проект “Твой путь”-Развитие общественной дипломатии и поддержка соотечественников
ZА четкий слух: социальная и аудиологическая поддержка граждан со сниженным слухом и речью, проживающих в приграничных районах Брянской области РФ с ...-Социальное обслуживание, социальная поддержка и защита граждан
Близкие люди-Социальное обслуживание, социальная поддержка и защита граждан
Программа помощи, защиты и просвещения населения освобожденных территорий г. Херсона и Херсонской области-Социальное обслуживание, социальная поддержка и защита граждан
Точка опоры: организация помощи детям и молодёжи Лутугинского района Луганской Народной Республики-Развитие общественной дипломатии и поддержка соотечественников
"Патриотический проект ""Новые герои России"""-Социальное обслуживание, социальная поддержка и защита граждан
Шагай со мной-Социальное обслуживание, социальная поддержка и защита граждан
"Разработка и реализация индивидуальных программ реабилитации пациентов с онкологическими заболеваниями кишечника в условиях внешнего стресс-фактора"-Социальное обслуживание, социальная поддержка и защита граждан
Центр Без Границ: физическая, социальная и психологическая реабилитация детей с диагнозом ДЦП, синдром Дауна, аутизм и другими ограниченными возможнос...-Социальное обслуживание, социальная поддержка и защита граждан
Гуманитарные миссии в Донецкую и Луганскую Народные Республики-Развитие общественной дипломатии и поддержка соотечественников
"Инклюзивный центр социальной реабилитации ""Новые возможности"""-Социальное обслуживание, социальная поддержка и защита граждан
Дорогой жизни-Социальное обслуживание, социальная поддержка и защита граждан
Мы вместе-Социальное обслуживание, социальная поддержка и защита граждан
Место встречи-Социальное обслуживание, социальная поддержка и защита граждан
"Центр социальной адаптации и реабилитации ""Воин"""-Социальное обслуживание, социальная поддержка и защита граждан
Счастливая МУЛЬТШКОЛА-Социальное обслуживание, социальная поддержка и защита граждан
Всероссийская акция Ёлка желаний-Социальное обслуживание, социальная поддержка и защита граждан
Библиодесант-Развитие общественной дипломатии и поддержка соотечественников
Доброе швейное дело-Социальное обслуживание, социальная поддержка и защита граждан
Vместе Zа жизнь-Социальное обслуживание, социальная поддержка и защита граждан
"Площадка социальной помощи гражданам, прибывшим с территории Донбасса и Украины - ПереZагрузка"-Социальное обслуживание, социальная поддержка и защита граждан
Штаб вклада в Победу-Развитие общественной дипломатии и поддержка соотечественников
"Школа первой помощи ""Золотые минуты"""-Социальное обслуживание, социальная поддержка и защита граждан
Правовая и психологическая помощь гражданам, прибывшим в Архангельскую область с территории ДНР, ЛНР, Украины, военнослужащим РФ и членам их семей-Социальное обслуживание, социальная поддержка и защита граждан
Территория надежды-Социальное обслуживание, социальная поддержка и защита граждан
Гуманитарная помощь вынужденным переселенцам с территории Украины с ограниченными возможностями здоровья.-Социальное обслуживание, социальная поддержка и защита граждан
Правовой центр поддержки жителей Донецкой Народной Республики-Развитие общественной дипломатии и поддержка соотечественников
"Университет ВОРДИ. Специальная программа ""Маршрут помощи детям-инвалидам для качественной жизни их семей"""-Социальное обслуживание, социальная поддержка и защита граждан
Внедрение эффективных технологий для обучения детей с расстройствами аутистического спектра в коррекционных классах-Социальное обслуживание, социальная поддержка и защита граждан
К миру с творчеством вместе-Развитие общественной дипломатии и поддержка соотечественников
ВКЛЮЧи родителя 2-Социальное обслуживание, социальная поддержка и защита граждан
Добро пожаловать в Российскую семью-Развитие общественной дипломатии и поддержка соотечественников
Формирование системы психологической помощи на территории Луганской Народной Республики-Социальное обслуживание, социальная поддержка и защита граждан
"Социальная реабилитация людей с психическими расстройствами и членов их семей ""Да! Могу полноценно жить!"""-Социальное обслуживание, социальная поддержка и защита граждан
В новую жизнь без барьеров-Развитие общественной дипломатии и поддержка соотечественников
"Социально-образовательный проект ""Рядом"""-Социальное обслуживание, социальная поддержка и защита граждан
Vместе мы справимся-Социальное обслуживание, социальная поддержка и защита граждан
"К материнству - бережно"-Социальное обслуживание, социальная поддержка и защита граждан
Дом для мамы: помощь, семьям с детьми пострадавшим в результате боевых действий Донбасса и Украины, прибывшие на территорию РФ-Социальное обслуживание, социальная поддержка и защита граждан
Круг поддержки-Социальное обслуживание, социальная поддержка и защита граждан
"Комплексная медико-социальная помощь жителям Донбасса и Украины"-Социальное обслуживание, социальная поддержка и защита граждан
"Центр социальной адаптации и помощи ""Александра Пересвета"""-Социальное обслуживание, социальная поддержка и защита граждан
Формирование социокультурных ценностей русского мира у молодежи Донбасса-Развитие общественной дипломатии и поддержка соотечественников
"Единый координационный центр помощи отдельным категориям граждан ""Интеграция"""-Социальное обслуживание, социальная поддержка и защита граждан
"Творческая мастерская ""Многоцветье Гафури"" - делимся добром"-Социальное обслуживание, социальная поддержка и защита граждан
Психологическая безопасность в семье: социальные аспекты и ресурсы-Социальное обслуживание, социальная поддержка и защита граждан
Жизнь продолжается-Социальное обслуживание, социальная поддержка и защита граждан
Гуманитарная миссия Волонтерской Роты-Развитие общественной дипломатии и поддержка соотечественников
"Социально-правовая помощь лицам, прибывшим с территорий Донбасса и Украины"-Социальное обслуживание, социальная поддержка и защита граждан
Гордясь прошлым, создадим будущее ВМЕСТЕ-Социальное обслуживание, социальная поддержка и защита граждан
Калейдоскоп детства. Программа социализации детей дошкольного возраста прибывших с территорий Донбасса и Украины в Вологодскую область-Социальное обслуживание, социальная поддержка и защита граждан
Территория добра: помощь людям, прибывшим с Донбасса и Украины-Социальное обслуживание, социальная поддержка и защита граждан
Сделай шаг-Социальное обслуживание, социальная поддержка и защита граждан
Карелия приглашает-Социальное обслуживание, социальная поддержка и защита граждан
Человек человеку-Социальное обслуживание, социальная поддержка и защита граждан
Женщины помогают женщинам-Социальное обслуживание, социальная поддержка и защита граждан
Транспорт для социальной сферы ДНР-Развитие общественной дипломатии и поддержка соотечественников
Речные Зори-Социальное обслуживание, социальная поддержка и защита граждан
На земле Россия-Развитие общественной дипломатии и поддержка соотечественников
Программы сопровождения семьи на экстренном и кризисном уровнях «Очень нужно»-Социальное обслуживание, социальная поддержка и защита граждан
"Глухарики ДНР и ЛНР на ""Утренней звезде"""-Социальное обслуживание, социальная поддержка и защита граждан
Журавли-Социальное обслуживание, социальная поддержка и защита граждан
Организация психологической поддержки семей беженцев и переселенцев в процессе социального сопровождения-Социальное обслуживание, социальная поддержка и защита граждан
Единение-Социальное обслуживание, социальная поддержка и защита граждан
Близкие рядом-Социальное обслуживание, социальная поддержка и защита граждан
"Крылья надежды - детям и героям Донбасса"-Развитие общественной дипломатии и поддержка соотечественников
Донбасс, учимся вместе!-Социальное обслуживание, социальная поддержка и защита граждан
"О спорт, ты-мир!"-Развитие общественной дипломатии и поддержка соотечественников
"Другая жизнь-2: культурно-восстановительный глэмпинг для людей с ограниченными возможностями здоровья"-Социальное обслуживание, социальная поддержка и защита граждан
Социальная столовая для глухих и слабослышащих людей города Казани-Социальное обслуживание, социальная поддержка и защита граждан
Жизнь продолжается!-Социальное обслуживание, социальная поддержка и защита граждан
Интеллектуальное содружество-Развитие общественной дипломатии и поддержка соотечественников
IV Международный патриотический форум «Миротворчество поколений в исторической памяти Российского государства»-Развитие общественной дипломатии и поддержка соотечественников
Маяк-Развитие общественной дипломатии и поддержка соотечественников
Разработка программы обучения для Патронажной школы-Социальное обслуживание, социальная поддержка и защита граждан
Помощь в адаптации в новых условиях-Социальное обслуживание, социальная поддержка и защита граждан
"Луганск - территория свободного движения"-Социальное обслуживание, социальная поддержка и защита граждан
Своих не бросаем. Программа поддержки граждан, прибывших с территории Донбасса и Украины в г. Мончегорск.-Социальное обслуживание, социальная поддержка и защита граждан
БлагоРОДство-Социальное обслуживание, социальная поддержка и защита граждан
"Цент психолого-социальной поддержки ветеранов боевых действий ""Возвращение"""-Социальное обслуживание, социальная поддержка и защита граждан
Неотложная помощь. Оказание поддержки семьям с особыми детьми и взрослыми из числа беженцев и вынужденных переселенцев или находящихся в трудной жизне...-Социальное обслуживание, социальная поддержка и защита граждан
Вместе мы сила-Развитие общественной дипломатии и поддержка соотечественников
Время помогать-Социальное обслуживание, социальная поддержка и защита граждан
Детство в радость-Социальное обслуживание, социальная поддержка и защита граждан
"""Благовест. Центр новых возможностей"""-Социальное обслуживание, социальная поддержка и защита граждан
Помощь жителям из ЛНР и ДНР-Социальное обслуживание, социальная поддержка и защита граждан
Время помощи-Социальное обслуживание, социальная поддержка и защита граждан
"Солнечный зайчик: проект, направленный на социальную адаптацию детей-инвалидов с ментальными нарушениями, средствами АРТ-терапии, а также оказание соц..."-Социальное обслуживание, социальная поддержка и защита граждан
НОВОЕ ДЫХАНИЕ-Социальное обслуживание, социальная поддержка и защита граждан
"Я учусь жить - в трудной жизненной ситуации"-Социальное обслуживание, социальная поддержка и защита граждан
Мобильный пункт Заботы. Поможем вместе-Социальное обслуживание, социальная поддержка и защита граждан
"Берег - дающие надежду."-Социальное обслуживание, социальная поддержка и защита граждан
МЫВМЕСТЕ с Донбассом-Развитие общественной дипломатии и поддержка соотечественников
"Инклюзивная студия ""Глина помогает говорить"""-Социальное обслуживание, социальная поддержка и защита граждан
"Программа поддержки раненых участников СВО ""Агрегатор Счастья - путь к миру"""-Социальное обслуживание, социальная поддержка и защита граждан
Изменения в условиях нестабильности: поддержка и трудоустройство людей с инвалидностью-Социальное обслуживание, социальная поддержка и защита граждан
Защищенное детство-Развитие общественной дипломатии и поддержка соотечественников
"Оказание медико-психологической помощи пострадавшим от вооруженного конфликта на Донбассе"-Социальное обслуживание, социальная поддержка и защита граждан
Детское время: организация центров досуга и общего развития детей на базе пунктов временного размещения-Социальное обслуживание, социальная поддержка и защита граждан
Зимний кубок-Социальное обслуживание, социальная поддержка и защита граждан
"""Неваляшкин"": работаем!"""-Социальное обслуживание, социальная поддержка и защита граждан
База Жизни-Социальное обслуживание, социальная поддержка и защита граждан
АВТО ПОМОЩИ-Социальное обслуживание, социальная поддержка и защита граждан
"Коворкинг-центр для женщин, прибывших с территории Донбасса и Украины"-Социальное обслуживание, социальная поддержка и защита граждан
Мы вместе: баскетбол на колясках-Социальное обслуживание, социальная поддержка и защита граждан
ПОД КРЫЛОМ ДОБРОТЫ-Социальное обслуживание, социальная поддержка и защита граждан
"Помочь вовремя: кризисная помощь ВИЧ- положительным женщинам с детьми"-Социальное обслуживание, социальная поддержка и защита граждан
"Культурно-познавательный туризм «Аланские тропы»"-Социальное обслуживание, социальная поддержка и защита граждан
"Мы вместе - программа психологической реабилитации, социальной адаптации женщин, имеющих детей от 0 до 14 лет, временно проживающих на территории горо..."-Социальное обслуживание, социальная поддержка и защита граждан
Казачий добровольческий гуманитарный конвой «Ставрополье – Антрациту»-Развитие общественной дипломатии и поддержка соотечественников
Усилиями сообщества-Социальное обслуживание, социальная поддержка и защита граждан
Комплексная программа поддержки и развития детей с онкологическими заболеваниями и их семей в условиях геополитического кризиса и санкционного давлени...-Социальное обслуживание, социальная поддержка и защита граждан
Будет хлеб, будет и обед-Социальное обслуживание, социальная поддержка и защита граждан
"Центр адаптации и помощи прибывшим с территорий Донбасса и Украины ""Поколение"""-Социальное обслуживание, социальная поддержка и защита граждан
Помощь гражданам, из ДНР, ЛНР и Украины, прибывшим на территорию Ростовской области-Социальное обслуживание, социальная поддержка и защита граждан
"Не один дома: служба социального патронажа для детей с тяжелыми нарушениями развития в Санкт-Петербурге"-Социальное обслуживание, социальная поддержка и защита граждан
"ЗооДруг - помощь приютам для бездомных животных и волонтёрам Донбасса"-Развитие общественной дипломатии и поддержка соотечественников
Содействие религиозным организациям Донбасса и освобожденных территорий в интеграции в российское социокультурное пространство-Развитие общественной дипломатии и поддержка соотечественников
Важная поддержка – организация методического сопровождения детей с РАС в общеобразовательных учреждениях-Социальное обслуживание, социальная поддержка и защита граждан
"Ресурсный центр помощи семьям, имеющим в составе детей и взрослых с ментальными особенностями развития ""РАСкраска"""-Социальное обслуживание, социальная поддержка и защита граждан
Всегда в контакте!-Социальное обслуживание, социальная поддержка и защита граждан
Врачи помогают беженцам-Социальное обслуживание, социальная поддержка и защита граждан
"Историко-мемориальная экспедиция По следам мужества и славы: эстафета поколений"-Развитие общественной дипломатии и поддержка соотечественников
Своя профессия-Социальное обслуживание, социальная поддержка и защита граждан
РЕЖИМ выЖИТЬ-Социальное обслуживание, социальная поддержка и защита граждан
ЖИТЬ ДАЛЬШЕ: управление ремиссией-Социальное обслуживание, социальная поддержка и защита граждан
Все равны: занятия адаптивными видами спорта для детей с расстройством аутистического спектра в Донецкой Народной Республике-Развитие общественной дипломатии и поддержка соотечественников
Журналистика милосердия: поддержка людей в трудной жизненной ситуации на портале Милосердие.ru и вовлечение широкой читательской аудитории в деятельну...-Социальное обслуживание, социальная поддержка и защита граждан
Штаб помощи беженцам-Социальное обслуживание, социальная поддержка и защита граждан
"Социально-психологическая и благотворительная поддержка семей с неизлечимо больными детьми в период экономической нестабильности"-Социальное обслуживание, социальная поддержка и защита граждан
"Классики 21 века - развивающие пространства и тропы здоровья для наших детей"-Социальное обслуживание, социальная поддержка и защита граждан
Домашний очаг-Социальное обслуживание, социальная поддержка и защита граждан
"Мы вместе. Оказание психологической и духовно-нравственной помощи участникам боевых действий, получивших ранения и травмы в специальной военной операц..."-Социальное обслуживание, социальная поддержка и защита граждан
Благотворная активность-Социальное обслуживание, социальная поддержка и защита граждан
"Гуманитарно - досуговый центр для детей в городе Мариуполь"-Развитие общественной дипломатии и поддержка соотечественников
Работа есть!: сопровождаемое трудоустройство молодых людей с низкими стартовыми возможностями в новых экономических условиях-Социальное обслуживание, социальная поддержка и защита граждан
"Кемерово – Горловка: создание педагогической нетворкинг-студии «От учителя к учителю»"-Развитие общественной дипломатии и поддержка соотечественников
"Проектный офис ""Просто Действуй"""-Развитие общественной дипломатии и поддержка соотечественников
Добрый фудтрак-Социальное обслуживание, социальная поддержка и защита граждан
Путешествие в Конеландию: визит к хвостатому психотерапевту-Социальное обслуживание, социальная поддержка и защита граждан
В едином марше-Развитие общественной дипломатии и поддержка соотечественников
Чужих детей не бывает-Социальное обслуживание, социальная поддержка и защита граждан
Повышение качества жизни детей и молодых взрослых с тяжелыми неизлечимыми заболеваниями и/или тяжелыми множественными нарушениями развития, проживающи...-Развитие общественной дипломатии и поддержка соотечественников
Психологическая помощь-Социальное обслуживание, социальная поддержка и защита граждан
(Со)твори добро! – социальная поддержка и оказание помощи людям, прибывшим с территорий Донбасса и Украины, а также оказавшихся в ТЖС.-Социальное обслуживание, социальная поддержка и защита граждан
"Социокультурная адаптация школьников, прибывших с территории Украины и ЛДНР, через культурно-досуговую деятельность"-Социальное обслуживание, социальная поддержка и защита граждан
Мы едины!-Социальное обслуживание, социальная поддержка и защита граждан
"Программа креативной социальной адаптации детей и подростков из Донбасса ""Своих не бросаем"""-Социальное обслуживание, социальная поддержка и защита граждан
«Сила в открытиях»: формирование непрерывной системы дополнительного образования в области географии и смежных наук для молодежи и людей с ограниченны...-Развитие общественной дипломатии и поддержка соотечественников
Стажировки для защитников детства ЛДНР: дорога домой-Развитие общественной дипломатии и поддержка соотечественников
Передышка для мамы особого ребенка: предоставление няни приемным семьям, воспитывающим детей с ОВЗ-Социальное обслуживание, социальная поддержка и защита граждан
Быть рядом и быть вместе-Социальное обслуживание, социальная поддержка и защита граждан
"Реабилитационная программа для детей-переселенцев с ДНР г.Мариуполь в городе Набережные Челны “Рука помощи”"-Социальное обслуживание, социальная поддержка и защита граждан
